"","employees","salaries.2014","salaries.2015","raise","got.raise"
"70","Employee 70",41010.8019737527,40217.8363362327,-792.965637519956,FALSE
"71","Employee 71",48183.7050407194,50887.7002377994,2703.99519708008,TRUE
"72","Employee 72",44183.1330675632,53466.3234651089,9283.1903975457,TRUE
"73","Employee 73",40847.9478536174,42441.4229393005,1593.47508568317,TRUE
"74","Employee 74",45965.512751136,54075.6336646155,8110.12091347948,TRUE
"75","Employee 75",45580.9326283634,47180.4613585118,1599.52873014845,TRUE
"76","Employee 76",46590.5574965291,46400.6514672656,-189.906029263511,FALSE
"77","Employee 77",45704.1889685206,40963.5698294733,-4740.61913904734,FALSE
"78","Employee 78",47167.5082156435,54557.523339754,7390.0151241105,TRUE
"79","Employee 79",41995.8384870552,48354.6042209491,6358.76573389396,TRUE
"80","Employee 80",46517.905225046,51346.9569361769,4829.05171113089,TRUE
"81","Employee 81",43944.4976160303,42037.1490321122,-1907.34858391806,FALSE
"82","Employee 82",43943.7052630819,42103.1811158173,-1840.52414726466,FALSE
"83","Employee 83",48887.0916562155,51097.7959260345,2210.70426981896,TRUE
"84","Employee 84",48973.0271324515,52163.36063575,3190.33350329846,TRUE
"85","Employee 85",46660.8954360709,50191.3120702375,3530.41663416661,TRUE
"86","Employee 86",48021.1474164389,46497.5931099616,-1523.55430647731,FALSE
"87","Employee 87",49717.2366641462,51324.74508835,1607.50842420384,TRUE
"88","Employee 88",42276.9950469956,48173.414216144,5896.41916914843,TRUE
"89","Employee 89",45636.0756186768,53683.3723448217,8047.29672614485,TRUE
"90","Employee 90",41101.9871337339,43527.0114080049,2425.02427427098,TRUE
"91","Employee 91",45087.2690905817,48368.940143846,3281.67105326429,TRUE
"92","Employee 92",40560.4732385837,41030.8071586769,470.333920093253,TRUE
"93","Employee 93",47668.118881993,46669.4119013846,-998.706980608404,FALSE
"94","Employee 94",47582.0044707507,47759.4198519364,177.41538118571,TRUE
"95","Employee 95",48561.8373053148,50814.1719002742,2252.33459495939,TRUE
"96","Employee 96",49161.255385261,44858.3257209975,-4302.9296642635,FALSE
"97","Employee 97",45597.6524273865,51974.3142509833,6376.66182359681,TRUE
"98","Employee 98",45518.7601177022,46457.11390418,938.353786477819,TRUE
"99","Employee 99",42091.2590343505,46590.6140638981,4499.35502954759,TRUE
"100","Employee 100",48065.9127095714,51092.4875736237,3026.57486405224,TRUE
